課程編號,課程名稱,上課日,開課日期,上/下午,上課時間,課程,每課,費用,會員費用,狀況
NK30391C,砌磚工藝實習進階課程,星期日,10月24日,上午,10:00-5:00,全期2課,6小時,1550元,1395元,可接受報名
NK30393A,鋪瓦工藝實習進階課程,星期四,11月18日,上午,10:00-5:00,全期2課,6小時,1550元,1395元,可接受報名
NK30399B,粗木工(模板)技能訓練實習班,星期六,12月11日,上午,10:00-5:00,全期2課,6小時,1710元,1539元,可接受報名
KZ30407AQ,蔬果雕花的認識與製作基礎證書(兼讀制),星期五,12月03日,上午,9:00-1:15,全期7課,3小時,375元,0元,不接受網上報名
KE30417BQ,麵包製作(經典包類)基礎證書(兼讀制),星期一,11月15日,下午,2:00-5:45,全期10課,3小時,675元,0元,不接受網上報名
KZ30417BQ,麵包製作(經典包類)基礎證書(兼讀制),星期二,四,11月23日,上午,9:00-12:45,全期10課,3小時,675元,0元,不接受網上報名
NW30417BQ,麵包製作(經典包類)基礎證書(兼讀制),星期四,06月23日,下午,2:30-6:15,全期10課,3小時,675元,0元,不接受網上報名
HT30418BQ,麵包製作(咸包及酥包類)基礎證書(兼讀制),星期一,三,四,五,12月13日,上午,9:00-5:30,全期10課,3小時,675元,0元,不接受網上報名
NK30392B,批盪工藝實習進階課程,星期四,11月18日,上午,10:00-5:00,全期2課,6小時,1550元,1395元,可接受報名
NK30396B,竹棚架工藝技能訓練實習班,星期四,五,12月09日,上午,10:00-5:00,全期2課,6小時,1370元,1233元,可接受報名
NK30401A,鋼筋屈紮工(中級)工藝測試實習速成班,星期四,11月11日,上午,10:00-5:00,全期3課,6小時,2450元,2205元,可接受報名
HT30416AQ,節令點心認識與製作基礎證書(兼讀制),星期四,10月21日,下午,2:30-5:30,全期8課,3小時,525元,0元,不接受網上報名
KZ30417AQ,麵包製作(經典包類)基礎證書(兼讀制),星期一,二,10月18日,上午,9:00-12:45,全期10課,3小時,675元,0元,不接受網上報名
NW30417AQ,麵包製作(經典包類)基礎證書(兼讀制) *,星期一,02月21日,上午,9:15-1:00,全期10課,3小時,675元,0元,課程已取消
HT30418AQ,麵包製作(咸包及酥包類)基礎證書(兼讀制),星期一,二,四,五,11月22日,上午,9:00-5:30,全期10課,3小時,675元,0元,不接受網上報名
KE30418AQ,麵包製作(咸包及酥包類)基礎證書(兼讀制),星期五,11月12日,上午,9:30-1:15,全期10課,3小時,675元,0元,不接受網上報名
NW30418A,麵包製作(咸包及酥包類)基礎證書(兼讀制),星期四,04月21日,下午,2:30-6:15,全期10課,3小時,675元,0元,不接受網上報名
KE30419BQ,麵包製作(健康包類)基礎證書(兼讀制),星期一,11月01日,上午,9:30-1:15,全期10課,3小時,675元,0元,不接受網上報名
NZ30419AQ,麵包製作(健康包類)基礎證書(兼讀制),星期四,10月28日,上午,9:30-6:00,全期10課,3小時,675元,0元,不接受網上報名
KE30424BQ,西餅製作(撻及批類)基礎證書(兼讀制),星期三,11月03日,上午,9:30-1:15,全期10課,3小時,675元,0元,不接受網上報名
KE30429BQ,西餅製作(蛋糕類)基礎證書(兼讀制),星期二,10月26日,上午,9:30-1:15,全期10課,3小時,675元,0元,不接受網上報名
NZ30429AQ,西餅製作(蛋糕類)基礎證書(兼讀制),星期四,12月02日,上午,9:30-6:00,全期10課,3小時,675元,0元,不接受網上報名
HT30430CQ,西餅製作(雜餅類)基礎證書(兼讀制) *,星期一,二,四,五,10月25日,上午,9:00-5:30,全期8課,3小時45分,675元,0元,課程已取消
KZ30418AQ,麵包製作(咸包及酥包類)基礎證書(兼讀制),星期三,四,10月20日,上午,9:00-12:45,全期10課,3小時,675元,0元,不接受網上報名
NW30418B,麵包製作(咸包及酥包類)基礎證書(兼讀制) *,星期一,02月28日,下午,2:00-5:45,全期10課,3小時,675元,0元,課程已取消
NW30419AQ,麵包製作(健康包類)基礎證書(兼讀制),星期二,01月11日,上午,8:45-12:30,全期10課,3小時,675元,0元,不接受網上報名
HT30420,粵式禮餅的認識及製作基礎證書(兼讀制),星期二,11月02日,下午,2:30-5:30,全期7課,3小時,375元,0元,不接受網上報名
NW30424A,西餅製作(撻及批類)基礎證書(兼讀制),星期二,04月12日,下午,1:00-4:45,全期10課,3小時,675元,0元,不接受網上報名
NW30429AQ,西餅製作(蛋糕類)基礎證書(兼讀制),星期二,06月07日,上午,8:45-12:30,全期10課,3小時,675元,0元,不接受網上報名
HT30430AQ,西餅製作(雜餅類)基礎證書(兼讀制),星期一,二,四,五,10月25日,上午,9:00-5:30,全期8課,3小時45分,675元,0元,不接受網上報名
LA30430AQ,西餅製作(雜餅類)基礎證書(兼讀制),星期二,11月23日,晚上,6:30-10:15,全期8課,3小時45分,675元,0元,不接受網上報名
KK30444,燒味部認識與製作基礎證書(兼讀制),星期四,10月21日,晚上,7:00-10:00,全期7課,3小時,375元,0元,不接受網上報名
NW30447AQ,法式甜品製作基礎證書(兼讀制),星期二,06月14日,下午,1:00-4:45,全期10課,3小時,675元,0元,不接受網上報名
NW30450,素菜的認識與製作基礎證書(兼讀制),星期五,10月22日,上午,9:00-5:00,全期7課,3小時,375元,0元,不接受網上報名
KK30451,潮州菜的認識與製作基礎證書(兼讀制),星期四,10月21日,上午,9:00-1:00,全期9課,4小時,675元,0元,不接受網上報名
KK30456AQ,中式熱盤醬汁的認識與製作基礎證書,星期三,11月17日,上午,9:30-12:30,全期7課,3小時,375元,0元,不接受網上報名
KW30476AQ,職場通用技能(督導及團隊管理)基礎 *,星期二,10月19日,上午,9:00-1:00,全期6課,2小時40分,225元,0元,課程已取消
KY30480BQ,區塊鏈知識及應用證書(兼讀制),星期一,二,三,四,五,六,10月18日,晚上,6:30-10:30,全期6課,4小時,675元,0元,不接受網上報名
NW30430AQ,西餅製作(雜餅類)基礎證書(兼讀制),星期二,03月29日,上午,8:45-12:30,全期8課,3小時45分,675元,0元,不接受網上報名
KE30447BQ,法式甜品製作基礎證書(兼讀制),星期四,11月04日,上午,9:30-1:15,全期10課,3小時,675元,0元,不接受網上報名
KK30450,素菜的認識與製作基礎證書(兼讀制),星期一,11月08日,上午,9:30-12:30,全期7課,3小時,375元,0元,不接受網上報名
NW30450B,素菜的認識與製作基礎證書(兼讀制),星期五,03月18日,上午,9:00-5:00,全期7課,3小時,375元,0元,不接受網上報名
HT30452,西式餐飲食品製作基礎證書(兼讀制),星期一,11月08日,下午,2:00-5:00,全期7課,3小時,375元,0元,不接受網上報名
KW30466,常用英語語法 III 基礎證書(兼讀制) *,星期一,四,10月25日,上午,9:00-1:00,全期10課,2小時,375元,0元,課程已取消
KW30479AQ,職場通用技能(領導技巧及員工管理),星期二,11月16日,上午,9:00-1:00,全期6課,2小時40分,225元,0元,不接受網上報名
KY30480CQ,區塊鏈知識及應用證書(兼讀制),星期一,二,三,四,五,六,11月15日,晚上,6:30-10:30,全期6課,4小時,675元,0元,不接受網上報名
HD30489AQ,職業普通話I 基礎證書(兼讀制),星期一,二,五,10月22日,上午,9:00-1:00,全期20課,3小時,1125元,0元,不接受網上報名
NN30489AQ,職業普通話I 基礎證書(兼讀制),星期一,二,三,四,五,10月18日,上午,9:00-1:00,全期20課,3小時,1125元,0元,不接受網上報名
LB30490CQ,職業普通話II基礎證書(兼讀制),星期一,二,三,四,五,11月08日,晚上,6:30-10:30,全期20課,3小時,1125元,0元,不接受網上報名
NK30498,VHF無線電話資格備試研習班,星期六,11月06日,下午,2:00-5:00,全期3課,3小時,780元,702元,可接受報名
KE30555BQ,紙樣設計及立體量裁技巧I基礎證書,星期一,三,五,11月22日,上午,9:30-1:30,全期6課,4小時,525元,0元,不接受網上報名
KY30559AQ,園藝保養(屋頂綠化)證書(兼讀制) *,星期三,四,五,10月20日,上午,9:00-6:00,全期6課,4小時,375元,0元,課程已取消
KH30566AQ,花藝設計及應用III證書(兼讀制),星期一,二,三,四,五,12月13日,上午,9:00-6:00,全期5課,7小時,825元,0元,不接受網上報名
LB30488AQ,職業英語(簡報技巧)證書 (兼讀制),星期二,五,10月26日,下午,2:00-5:45,全期15課,3小時,975元,0元,不接受網上報名
KS30489AQ,職業普通話I 基礎證書(兼讀制),星期一,二,三,四,五,11月09日,上午,9:00-1:00,全期20課,3小時,1125元,0元,不接受網上報名
LB30490AQ,職業普通話II基礎證書(兼讀制),星期一,三,四,五,10月18日,上午,9:00-1:00,全期20課,3小時,1125元,0元,不接受網上報名
NN30490AQ,職業普通話II基礎證書(兼讀制),星期一,二,三,四,五,11月08日,上午,9:00-1:00,全期20課,3小時,1125元,0元,不接受網上報名
KY30526,指導技巧基礎證書(兼讀制) *,星期四,10月21日,上午,9:00-12:00,全期10課,3小時,525元,0元,課程已取消
KE30556AQ,紙樣設計及立體量裁技巧II基礎證書,星期一,三,五,11月22日,下午,2:00-6:00,全期6課,4小時,525元,0元,不接受網上報名
KE30566AQ,花藝設計及應用III證書(兼讀制),星期一,二,三,四,五,11月15日,上午,9:00-6:00,全期5課,7小時,825元,0元,不接受網上報名
NN30566AQ,花藝設計及應用III證書(兼讀制),星期一,二,三,四,五,11月08日,上午,9:00-6:00,全期5課,7小時,825元,0元,不接受網上報名
NN30567AQ,婚禮花飾與宴會佈置III (教堂場地,星期三,四,五,12月01日,上午,9:00-6:00,全期3課,8小時,675元,0元,不接受網上報名
KH30571BQ,花藝設計及應用I基礎證書(兼讀制),星期一,二,三,四,11月22日,上午,9:00-5:00,全期3課,8小時20分,675元,0元,不接受網上報名
KE30574AQ,花藝設計及應用II基礎證書(兼讀制),星期三,四,五,10月20日,上午,9:00-6:00,全期3課,8小時,525元,0元,不接受網上報名
KH30574BQ,花藝設計及應用II基礎證書(兼讀制),星期一,二,三,12月06日,上午,9:00-6:00,全期3課,8小時,525元,0元,不接受網上報名
NZ30574AQ,花藝設計及應用II基礎證書(兼讀制),星期三,四,五,11月17日,上午,9:00-6:00,全期3課,8小時,525元,0元,不接受網上報名
NN30583AQ,花藝設計及應用II (葬禮花飾),星期三,四,五,12月15日,上午,9:00-6:00,全期6課,4小時,525元,0元,不接受網上報名
HR30589,建築信息模擬BIM初階,星期六,10月30日,上午,10:00-5:30,全期2課,6小時,1200元,1080元,可接受報名
NZ30566AQ,花藝設計及應用III證書(兼讀制),星期一,二,三,四,五,12月06日,上午,9:00-6:00,全期5課,7小時,825元,0元,不接受網上報名
KE30571BQ,花藝設計及應用I基礎證書(兼讀制),星期二,三,四,五,11月09日,上午,9:00-5:00,全期3課,8小時20分,675元,0元,不接受網上報名
NN30571BQ,花藝設計及應用I基礎證書(兼讀制),星期一,二,三,四,10月18日,上午,9:00-5:00,全期3課,8小時20分,675元,0元,不接受網上報名
KE30574BQ,花藝設計及應用II基礎證書(兼讀制),星期三,四,五,12月01日,上午,9:00-6:00,全期3課,8小時,525元,0元,不接受網上報名
NN30574BQ,花藝設計及應用II基礎證書(兼讀制),星期一,二,三,10月25日,上午,9:00-6:00,全期3課,8小時,525元,0元,不接受網上報名
NN30582AQ,花藝設計及應用II (節日花飾),星期三,四,五,12月08日,上午,9:00-6:00,全期6課,4小時,525元,0元,不接受網上報名
NN30584BQ,網上花店營運實務基礎證書(兼讀制),星期六,12月04日,上午,9:00-5:50,全期5課,7小時50分,825元,0元,不接受網上報名
HR30590,工料測量(QS) QTO軟件速成,星期六,11月13日,上午,10:00-5:30,全期2課,6小時,1200元,1080元,可接受報名
NK30605B,水喉(中工)工藝測試實習訓練課程,星期一,二,三,四,五,11月29日,上午,9:00-6:00,全期5課,8小時,4000元,3600元,可接受報名
LJ30607B,細木(中工)工藝測試實習訓練課程 *,星期一,二,三,四,五,10月18日,上午,9:00-6:00,全期5課,8小時,4000元,3600元,課程已取消
KJ30608B,電氣佈線(中工)工藝測試實習訓練課程,星期一,二,三,四,五,11月15日,上午,9:00-6:00,全期5課,8小時,4000元,3600元,可接受報名
LK30609B,髹漆及裝飾(中工)工藝測試實習訓練,星期一,二,三,四,五,六,11月01日,上午,9:00-6:00,全期6課,8小時,4500元,4050元,可接受報名
NK30611,木模板(中工)考牌實習訓練課程,星期一,二,三,四,五,12月06日,上午,9:00-6:00,全期5課,8小時,4000元,3600元,網上名額已滿
KY30623AQ,船務文件處理II(信用證實務)基礎證書 *,星期二,五,10月19日,上午,9:00-12:45,全期10課,3小時,675元,0元,課程已取消
LB30628BQ,英語訓練(初階)基礎證書,星期一,二,三,四,五,10月18日,下午,2:00-6:00,全期14課,4小時,0元,0元,不接受網上報名
LP30605B,水喉(中工)工藝測試實習訓練課程,星期一,二,三,四,五,11月08日,上午,9:00-6:00,全期5課,8小時,4000元,3600元,可接受報名
NK30606B,砌磚(中工)工藝測試實習訓練課程,星期一,二,三,四,五,11月29日,上午,9:00-6:00,全期5課,8小時,4000元,3600元,可接受報名
NK30607B,細木(中工)工藝測試實習訓練課程,星期一,二,三,四,五,11月29日,上午,9:00-6:00,全期5課,8小時,4000元,3600元,可接受報名
NK30608B,電氣佈線(中工)工藝測試實習訓練課程,星期一,二,三,四,五,11月29日,上午,9:00-6:00,全期5課,8小時,4000元,3600元,可接受報名
NK30609B,髹漆及裝飾(中工)工藝測試實習訓練,星期一,二,三,四,五,11月29日,上午,9:00-6:00,全期6課,8小時,4500元,4050元,可接受報名
KY30621,進出口法例基礎證書(兼讀制),星期一,11月08日,上午,9:00-12:30,全期4課,3小時30分,225元,0元,不接受網上報名
KV30628BQ,英語訓練(初階)基礎證書,星期一,二,三,四,五,10月27日,上午,9:00-1:00,全期14課,4小時,0元,0元,不接受網上報名
NN30628BQ,英語訓練(初階)基礎證書,星期一,二,三,四,五,10月18日,下午,2:00-6:00,全期14課,4小時,0元,0元,不接受網上報名
NN30629BQ,英語訓練(高階)基礎證書,星期一,二,三,四,五,10月18日,上午,9:00-1:00,全期14課,4小時,0元,0元,不接受網上報名
KE30669CQ,資訊科技應用訓練(初階)基礎證書,星期一,二,三,四,五,11月18日,上午,9:00-6:00,全期14課,4小時,0元,0元,不接受網上報名
HD30670AQ,資訊科技應用訓練(高階)基礎證書,星期二,四,五,10月29日,上午,9:00-6:00,全期14課,4小時,0元,0元,不接受網上報名
KE30670CQ,資訊科技應用訓練(高階)基礎證書,星期一,二,三,四,五,12月09日,上午,9:00-6:00,全期14課,4小時,0元,0元,不接受網上報名
NN30670BQ,資訊科技應用訓練(高階)基礎證書,星期二,四,五,11月09日,上午,9:00-6:00,全期14課,4小時,0元,0元,不接受網上報名
HD30699AQ,公共服務車輛司機職前訓練(公共小巴),星期三,10月20日,上午,9:00-6:00,全期2課,4小時,225元,0元,不接受網上報名
KK30716BQ,剪吹髮知識與技巧I基礎證書(兼讀制),星期三,11月10日,上午,9:00-12:15,全期4課,3小時15分,225元,0元,不接受網上報名
NW30628AQ,英語訓練(初階)基礎證書,星期一,三,四,五,01月03日,上午,9:00-1:00,全期14課,4小時,0元,0元,不接受網上報名
HD30669AQ,資訊科技應用訓練(初階)基礎證書,星期二,四,五,10月29日,上午,9:00-6:00,全期14課,4小時,0元,0元,不接受網上報名
KW30669BQ,資訊科技應用訓練(初階)基礎證書,星期一,四,五,11月08日,上午,9:00-6:00,全期14課,4小時,0元,0元,不接受網上報名
KE30670BQ,資訊科技應用訓練(高階)基礎證書 *,星期一,二,三,四,五,10月28日,上午,9:00-6:00,全期14課,4小時,0元,0元,課程已取消
KW30670BQ,資訊科技應用訓練(高階)基礎證書,星期一,四,五,11月29日,上午,9:00-6:00,全期14課,4小時,0元,0元,不接受網上報名
HD30698GQ,公共服務車輛司機職前訓練(駕駛安全及,星期二,11月30日,上午,9:00-6:00,全期2課,4小時,225元,0元,不接受網上報名
HD30701FQ,公共服務車輛司機職前訓練(的士),星期三,12月01日,上午,9:00-6:00,全期2課,4小時,225元,0元,不接受網上報名
KK30716DQ,剪吹髮知識與技巧I基礎證書(兼讀制),星期一,10月18日,上午,9:00-12:15,全期4課,3小時15分,225元,0元,不接受網上報名
KK30716FQ,剪吹髮知識與技巧I基礎證書(兼讀制),星期一,12月13日,上午,9:00-4:30,全期4課,3小時15分,225元,0元,不接受網上報名
KK30716KQ,剪吹髮知識與技巧I基礎證書(兼讀制),星期五,11月05日,上午,9:00-12:15,全期4課,3小時15分,225元,0元,不接受網上報名
KK30716MQ,剪吹髮知識與技巧I基礎證書(兼讀制),星期六,12月11日,上午,9:00-4:30,全期4課,3小時15分,225元,0元,不接受網上報名
KK30717EQ,剪吹髮知識與技巧II基礎證書(兼讀制),星期二,11月16日,上午,9:00-1:00,全期5課,4小時,375元,0元,不接受網上報名
KK30718,剪吹髮造型證書(兼讀制),星期四,11月11日,上午,9:00-12:20,全期6課,3小時20分,375元,0元,不接受網上報名
KK30725,男士理髮(職業水平)基礎證書(兼讀制),星期四,10月21日,上午,9:00-1:00,全期3課,4小時,225元,0元,不接受網上報名
KK30725F,男士理髮(職業水平)基礎證書(兼讀制),星期三,11月10日,下午,1:30-5:30,全期3課,4小時,225元,0元,不接受網上報名
KK30716EQ,剪吹髮知識與技巧I基礎證書(兼讀制),星期一,11月15日,上午,9:00-12:15,全期4課,3小時15分,225元,0元,不接受網上報名
KK30716JQ,剪吹髮知識與技巧I基礎證書(兼讀制),星期四,11月11日,下午,1:30-4:45,全期4課,3小時15分,225元,0元,不接受網上報名
KK30716LQ,剪吹髮知識與技巧I基礎證書(兼讀制),星期一,11月01日,下午,1:30-4:45,全期4課,3小時15分,225元,0元,不接受網上報名
KK30717CQ,剪吹髮知識與技巧II基礎證書(兼讀制),星期五,10月22日,下午,1:30-5:30,全期5課,4小時,375元,0元,不接受網上報名
KK30717FQ,剪吹髮知識與技巧II基礎證書(兼讀制),星期二,11月16日,下午,1:30-5:30,全期5課,4小時,375元,0元,不接受網上報名
HT30723,染髮知識與技巧基礎證書(兼讀制),星期二,11月02日,上午,9:00-1:00,全期2課,4小時,75元,0元,不接受網上報名
KK30725B,男士理髮(職業水平)基礎證書(兼讀制),星期四,10月21日,下午,2:00-6:00,全期3課,4小時,225元,0元,不接受網上報名
KK30733,電髮造型證書(兼讀制) *,星期一,11月01日,上午,9:00-1:25,全期5課,4小時25分,375元,0元,課程已取消
NK30734A,4合1髹漆及裝飾工(細油)大工實習訓練 *,星期一,二,三,四,五,六,10月18日,上午,10:00-5:00,全期6課,6小時,5700元,5130元,課程已取消
KC30735,4合1髹漆及裝飾工(大油)大工實習訓練,星期六,日,11月20日,上午,10:00-5:00,全期4課,6小時,3800元,3420元,可接受報名
NK30735A,4合1髹漆及裝飾工(大油)大工實習訓練,星期一,二,三,四,12月06日,上午,10:00-5:00,全期4課,6小時,3800元,3420元,不接受網上報名
KK30768BQ,營養知識I (營養學認識)基礎證書 *,星期一,10月18日,上午,9:00-5:15,全期4課,7小時15分,525元,0元,課程已取消
KY30768AQ,營養知識I (營養學認識)基礎證書,星期四,10月28日,上午,9:00-5:15,全期4課,7小時15分,525元,0元,不接受網上報名
KY30807BQ,生態旅遊導賞(自然導賞理論)證書,星期一,二,三,10月25日,下午,2:00-6:00,全期4課,3小時,225元,0元,不接受網上報名
LB30812BQ,生態旅遊導賞(地質公園-沉積岩地貌),星期一,三,五,10月25日,上午,9:00-6:00,全期4課,3小時,375元,0元,不接受網上報名
KC30734,4合1髹漆及裝飾工(細油)大工實習訓練,星期六,日,12月04日,上午,10:00-5:00,全期6課,6小時,5700元,5130元,可接受報名
NK30734B,4合1髹漆及裝飾工(細油)大工實習訓練 *,星期日,10月17日,上午,10:00-5:00,全期6課,6小時,5700元,5130元,課程已取消
KJ30735,4合1髹漆及裝飾工(大油)大工實習訓練,星期一,二,三,四,11月22日,上午,10:00-5:00,全期4課,6小時,3800元,3420元,可接受報名
NK30735B,4合1髹漆及裝飾工(大油)大工實習訓練,星期六,11月27日,上午,10:00-5:00,全期4課,6小時,3800元,3420元,不接受網上報名
KK30768CQ,營養知識I (營養學認識)基礎證書,星期一,11月22日,上午,9:00-5:15,全期4課,7小時15分,525元,0元,不接受網上報名
KY30768BQ,營養知識I (營養學認識)基礎證書,星期四,12月02日,上午,9:00-5:15,全期4課,7小時15分,525元,0元,不接受網上報名
KY30810AQ,旅遊業顧客服務(親善溝通)基礎證書 *,星期二,10月19日,上午,9:00-1:00,全期2課,6小時,225元,0元,課程已取消
KS30852AQ,強制性保險條例及索償(僱員補償),星期二,11月02日,上午,9:00-6:00,全期2課,5小時30分,225元,0元,不接受網上報名
LA30867AQ,醫療護理常用英語I基礎證書(兼讀制),星期五,10月29日,晚上,6:30-10:15,全期10課,3小時,675元,0元,不接受網上報名
NN30883,中醫藥美容基礎證書(兼讀制),星期一,二,三,四,五,11月15日,上午,9:00-6:00,全期12課,3小時,675元,0元,不接受網上報名
KH30891BQ,中醫學理論基礎證書(兼讀制),星期二,10月26日,上午,9:00-12:30,全期7課,3小時,375元,0元,不接受網上報名
NN30893,中醫藥保健概念基礎證書(兼讀制),星期二,三,四,五,11月23日,上午,9:00-5:30,全期10課,3小時,525元,0元,不接受網上報名
KH30920GQ,保安培訓課程認可計劃-質素保證系統,星期六,日,10月23日,上午,8:30-6:30,全期2課,9小時,375元,0元,不接受網上報名
KH30920JQ,保安培訓課程認可計劃-質素保證系統,星期六,日,11月06日,上午,8:30-6:30,全期2課,9小時,375元,0元,不接受網上報名
KH30920LQ,保安培訓課程認可計劃-質素保證系統,星期六,日,11月27日,上午,8:30-6:30,全期2課,9小時,375元,0元,不接受網上報名
KS30856AQ,強制性保險條例及索償(汽車)基礎證書,星期四,10月21日,上午,9:00-6:00,全期2課,5小時30分,225元,0元,不接受網上報名
LA30868AQ,醫療護理常用英語II基礎證書(兼讀制),星期五,11月12日,晚上,6:30-10:10,全期9課,3小時40分,675元,0元,不接受網上報名
NN30889,中藥配劑基礎證書(兼讀制),星期一,二,三,四,五,11月01日,上午,9:00-6:00,全期12課,3小時,675元,0元,不接受網上報名
NN30891BQ,中醫學理論基礎證書(兼讀制),星期三,12月01日,上午,9:00-5:00,全期7課,3小時,375元,0元,不接受網上報名
KH30920FQ,保安培訓課程認可計劃-質素保證系統,星期六,日,10月16日,上午,8:30-6:30,全期2課,9小時,375元,0元,不接受網上報名
KH30920HQ,保安培訓課程認可計劃-質素保證系統,星期六,日,10月30日,上午,8:30-6:30,全期2課,9小時,375元,0元,不接受網上報名
KH30920KQ,保安培訓課程認可計劃-質素保證系統,星期六,日,11月20日,上午,8:30-6:30,全期2課,9小時,375元,0元,不接受網上報名
KH30920MQ,保安培訓課程認可計劃-質素保證系統,星期六,日,12月04日,上午,8:30-6:30,全期2課,9小時,375元,0元,不接受網上報名
KH30920PQ,保安培訓課程認可計劃-質素保證系統,星期六,日,12月18日,上午,8:30-6:30,全期2課,9小時,375元,0元,不接受網上報名
LB30920DQ,保安培訓課程認可計劃-質素保證系統,星期二,三,12月14日,上午,8:30-6:30,全期2課,9小時,375元,0元,不接受網上報名
NN30920DQ,保安培訓課程認可計劃-質素保證系統,星期四,五,11月25日,上午,8:30-6:30,全期2課,9小時,375元,0元,不接受網上報名
NW30920AQ,保安培訓課程認可計劃-質素保證系統,星期一,三,11月29日,上午,8:30-6:30,全期2課,9小時,375元,0元,不接受網上報名
NW30920CQ,保安培訓課程認可計劃-質素保證系統,星期日,10月17日,上午,8:30-6:30,全期2課,9小時,375元,0元,不接受網上報名
NZ30920BQ,保安培訓課程認可計劃-質素保證系統,星期日,10月17日,上午,8:30-6:30,全期2課,9小時,375元,0元,不接受網上報名
NZ30920DQ,保安培訓課程認可計劃-質素保證系統,星期日,12月12日,上午,8:30-6:30,全期2課,9小時,375元,0元,不接受網上報名
KH30920NQ,保安培訓課程認可計劃-質素保證系統,星期六,日,12月11日,上午,8:30-6:30,全期2課,9小時,375元,0元,不接受網上報名
LB30920CQ,保安培訓課程認可計劃-質素保證系統,星期二,三,11月16日,上午,8:30-6:30,全期2課,9小時,375元,0元,不接受網上報名
NN30920CQ,保安培訓課程認可計劃-質素保證系統,星期五,六,10月29日,上午,8:30-6:30,全期2課,9小時,375元,0元,不接受網上報名
NN30920EQ,保安培訓課程認可計劃-質素保證系統,星期一,二,12月13日,上午,8:30-6:30,全期2課,9小時,375元,0元,不接受網上報名
NW30920BQ,保安培訓課程認可計劃-質素保證系統,星期一,三,12月20日,上午,8:30-6:30,全期2課,9小時,375元,0元,不接受網上報名
NW30920DQ,保安培訓課程認可計劃-質素保證系統,星期一,三,02月21日,上午,8:30-6:30,全期2課,9小時,375元,0元,不接受網上報名
NZ30920CQ,保安培訓課程認可計劃-質素保證系統,星期日,11月28日,上午,8:30-6:30,全期2課,9小時,375元,0元,不接受網上報名
NK30926AQ,家居粉飾牆紙『裱貼』實習速成班,星期一,11月15日,上午,10:00-5:00,全期4課,3小時,1670元,1503元,可接受報名
NK30928B,家居裝修紙皮石及網石修補實務證書 *,星期日,10月17日,上午,10:00-5:00,全期2課,6小時,1800元,1620元,課程已取消
NK30929B,家居裝修鋪瓦技術提升實務證書,星期日,11月21日,上午,10:00-5:00,全期2課,6小時,1800元,1620元,可接受報名
KE30937,工業4.0預測性分析和機器學習應用,星期三,11月24日,晚上,7:00-10:00,全期4課,3小時,960元,864元,可接受報名
KZ31002,中文商業簿記進階,星期三,10月27日,晚上,7:00-10:00,全期6課,3小時,650元,585元,可接受報名
HO31032,LCCI(VRQ)中級英文簿記試題研習精讀班,星期六,11月13日,晚上,6:50-9:50,全期4課,3小時,540元,486元,可接受報名
KE31065,伊斯蘭銀行金融經理証書課程,星期五,10月29日,晚上,7:00-10:00,全期6課,3小時,1050元,945元,可接受報名
KL31080,大灣區培訓行業的展望與探討,星期日,10月24日,上午,9:30-4:30,全期1課,6小時,350元,315元,可接受報名
NK30927B,家居裝修乳膠漆修補實務證書,星期日,12月05日,上午,10:00-5:00,全期2課,6小時,1800元,1620元,可接受報名
NK30929A,家居裝修鋪瓦技術提升實務證書,星期六,10月30日,上午,10:00-5:00,全期2課,6小時,1800元,1620元,可接受報名
KE30936,數據可視化和視覺分析技術證書,星期三,10月27日,晚上,7:00-10:00,全期4課,3小時,960元,864元,可接受報名
KH30952AQ,物業管理督導技巧(員工督導)證書 *,星期一,10月25日,上午,9:00-12:30,全期6課,3小時30分,375元,0元,課程已取消
KE31026A,LCCI (VRQ) 高級英文會計速成班,星期日,01月02日,下午,1:30-4:30,全期24課,3小時,2890元,2601元,可接受報名
HO31033,LCCI(VRQ)高級英文會計試題研習精讀班,星期日,11月14日,晚上,6:50-9:50,全期4課,3小時,620元,558元,可接受報名
KL31073,一帶一路商業策略及營商技巧證書課程,星期二,五,12月07日,晚上,7:00-10:00,全期4課,3小時,620元,558元,可接受報名
KK31086B,上市公司如何遵從港交所最新的ESG,星期日,12月12日,上午,10:00-5:00,全期1課,6小時,650元,585元,可接受報名
KF31094,零工(網約工)生存術研習班,星期日,11月28日,下午,1:30-4:30,全期4課,3小時,620元,558元,可接受報名
KF31135,倉庫及物流管理進階證書課程,星期日,10月24日,下午,2:00-5:00,全期6課,3小時,760元,684元,可接受報名
HC31149,信託及公司服務提供(TCSP)註冊牌照,星期六,11月20日,上午,10:00-1:00,全期4課,3小時,620元,558元,可接受報名
KS31164,微商零成本宣傳及零存貨工作坊,星期一,11月01日,晚上,7:00-10:00,全期4課,3小時,510元,459元,可接受報名
WY31167,商場營銷心理學,星期四,10月28日,晚上,7:00-10:00,全期2課,3小時,300元,270元,可接受報名
KF31198,區塊鏈技術與日常生活課程 *,星期二,10月26日,晚上,7:00-10:00,全期6課,3小時,1130元,1017元,課程已取消
HT31206,The Coaching 國際證書課程 : 進階,星期六,10月23日,下午,2:30-5:30,全期7課,3小時,1550元,1395元,可接受報名
KK31090,可持續發展從業員專業文憑課程,星期六,10月16日,下午,1:15-5:15,全期8課,4小時,1830元,1647元,網上名額已滿
